address,city,state,total_sf,year_built,class,tatol_vacant_sf,vacancy_rate,total_leased_sf,total_available_sf,availability_rate
400 Capitol Mall,Sacramento,CA,511184,1992,A,57742,0.113,453442,70084,0.137
980 9th St,Sacramento,CA,463556,1992,A,140422,0.303,323134,185745,0.401
500 Capitol Mall,Sacramento,CA,445984,2009,A,42561,0.095,403423,49655,0.111
555 Capitol Mall,Sacramento,CA,385178,1970,A,40801,0.106,344377,50408,0.131
300 Capitol Mall,Sacramento,CA,383238,1985,A,124864,0.326,258374,124864,0.326
621 Capitol Mall,Sacramento,CA,366337,2008,A,75082,0.205,291255,78041,0.213
1325 J St,Sacramento,CA,363723,1989,A,16528,0.045,347195,36371,0.1
801 K St,Sacramento,CA,337811,1989,A,208338,0.617,129473,208338,0.617
1215 K St,Sacramento,CA,270712,1999,A,41225,0.152,229487,39568,0.146
1515 S St,Sacramento,CA,259775,1989,B,2620,0.01,257155,143338,0.552
1201 K St,Sacramento,CA,241996,1990,A,63071,0.261,178925,46678,0.193
400 R St,Sacramento,CA,230074,1990,A,60545,0.263,169529,60545,0.263
1415 L St,Sacramento,CA,229109,2003,A,23884,0.104,205225,35920,0.157
1800 3rd St,Sacramento,CA,197848,1911,B,197848,1,0,0,0
1 Capitol Mall,Sacramento,CA,185950,1992,A,65893,0.354,120057,79374,0.427
1130 K St,Sacramento,CA,180908,1923,B,129240,0.714,51668,129240,0.714
1121-1123 L St,Sacramento,CA,180123,1924,A,10214,0.057,169909,18884,0.105
770 L St,Sacramento,CA,170267,1984,A,45683,0.268,124584,45728,0.269
925 L St,Sacramento,CA,165919,1973,A,11390,0.069,154529,11742,0.071
915 L St,Sacramento,CA,163840,1988,A,2898,0.018,160942,2898,0.018
601 N 7th St,Sacramento,CA,155200,1989,B,0,0,155200,0,0
1100 J St,Sacramento,CA,154504,1980,C,0,0,154504,0,0
1100-1102 Q St,Sacramento,CA,151857,1999,B,800,0.005,151057,800,0.005
1515 K St,Sacramento,CA,148389,1983,B,23824,0.161,124565,23824,0.161
1515 S St,Sacramento,CA,140166,1989,B,2620,0.019,137546,140166,1
455 Capitol Mall,Sacramento,CA,126849,1967,A,41826,0.33,85023,39144,0.309
